Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,SMILES,Source,Fu_median,N_fu,Fu_values,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,LogP_opera,Type,MW_rdkit,PSA_rdkit,HBD_rdkit,HBA_rdkit,LogP_rdkit,MW_chembl,PSA_chembl,LogP_chembl,MW_diff_rdkit,PSA_diff_rdkit,HBD_diff_rdkit,HBA_diff_rdkit,LogP_diff_rdkit,pKa_pkasolver,N_pka_pkasolver,Type_pkasolver,pKa_acid_v1,pKa_base_v1,pKa_acid_v2,pKa_base_v2,FG_acid_v2,FG_base_v2,f_neutral_v2,fraction_ionized_v2,LogD74_calc_pkasolver_v2
Reboxetine,CHEMBL14370,313.40,39.72,1,4,3.19,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,ChEMBL,0.0325,2,"0.019, 0.046",NA,NA,NA,ChEMBL_Fu,0.0325,NA,0,NA,NA,0,NA,NA,7.71,2.78,3.26,BASE,313.39700000000005,39.72,1,4,3.1938000000000004,313.4,39.72,3.19,0.0029999999999290594,0,0,0,0.0038000000000004697,7.798,1,BASE,NA,7.797676010131836,NA,7.797676010131836,NA,aliphatic_amine,0.28583835883205083,0.7141616411679492,2.646120509658733
Theobromine,CHEMBL1114,180.17,72.68,1,5,-1.04,Cn1cnc2c1c(=O)[nH]c(=O)n2C,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,9.82,NA,-0.77,-0.77,ACID,180.16699999999997,72.68,1,3,-1.0397,180.17,72.68,-1.04,0.0030000000000143245,0,0,2,2.9999999999996696e-4,"4.211, 5.414, 9.268",3,"BASE, BASE, BASE",NA,9.267797889709472,NA,9.267797889709472,NA,heterocyclic_N_basic_polyhet,0.013376836464267298,0.9866231635357327,-2.9136465822751605
Thiopentone,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,5.69,NA,1.13,2.85,ACID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Labetalol,CHEMBL429,328.41,95.58,4,4,2.14,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,ChEMBL,0.5,3,"0.5, 0.5, 0.961",NA,NA,NA,ChEMBL_Fu,0.5,7.6,8,"7.4, 9.3, 2.1, 7.4, 9.3, 7.4, 9.4, 7.8",NA,0,NA,8.2,NA,3.03,3.09,ACID,328.4120000000001,95.57999999999998,4,4,2.1353999999999997,328.41,95.58,2.14,0.002000000000066393,1.4210854715202004e-14,0,0,0.0046000000000003816,"7.242, 8.619, 8.887, 9.145, 9.365",5,"BASE, BASE, ACID, ACID, ACID",8.887249145507813,8.61929775238037,8.887249145507813,8.61929775238037,alcohol,aliphatic_amine,0.056812950920680484,0.9431870490793195,0.8944473475466572
Acitretin,CHEMBL1131,326.44,46.53,1,2,5.17,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,6.13,NA,5.11,6.4,ACID,326.4360000000001,46.53,1,2,5.167060000000005,326.44,46.53,5.17,0.0039999999999054126,0,0,0,0.0029399999999952797,5.253,1,ACID,5.253394107818604,NA,5.253394107818604,NA,carboxylate,NA,0.007084454543466778,0.9929155454565333,3.0203064180440715
Flurbiprofen,CHEMBL563,244.26,37.30,1,1,3.68,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,ChEMBL,0.982,1,0.982,NA,NA,NA,ChEMBL_Fu,0.982,4.26,8,"4.2, 4.6, 4.2, 4.6, 4.03, 4.3, 4.22, 4.5",0.875,2,"0.85, 0.9",3.84,NA,0.6,4.16,ACID,244.265,37.3,1,1,3.6808000000000023,244.26,37.3,3.68,0.0049999999999954525,0,0,0,8.000000000021323e-4,4.483,1,ACID,4.482896766662598,NA,4.482896766662598,NA,carboxylate,NA,0.0012088473237893322,0.9987911526762107,0.7623714533646155
Ibuprofen,CHEMBL521,206.28,37.30,1,1,3.07,CC(C)Cc1ccc(C(C)C(=O)O)cc1,ChEMBL,0.006,5,"0.006, 0.962, 0.006, 0.0023, 0.000122",NA,NA,NA,ChEMBL_Fu,0.006,5.2,13,"5.2, 7.95, 5.2, 5.2, 2.92, 4.45, 5.4, 4.8, 4.67, 4.83, 5.35, 6.01, 6.3",1.1,1,1.1,4.91,NA,1.25,3.74,ACID,206.28499999999997,37.3,1,1,3.073200000000001,206.28,37.3,3.07,0.004999999999967031,0,0,0,0.00320000000000098,4.817,1,ACID,4.817349071502686,NA,4.817349071502686,NA,carboxylate,NA,0.002607445222725035,0.997392554777275,0.4862151935249792
Mesalamine,CHEMBL704,153.14,83.55,3,3,0.67,Nc1ccc(O)c(C(=O)O)c1,ChEMBL,0.39,1,0.39,NA,NA,NA,ChEMBL_Fu,0.39,NA,0,NA,NA,0,NA,3.82,NA,-2.77,0.81,ACID,153.137,83.55,3,3,0.6726000000000001,153.14,83.55,0.67,0.002999999999985903,0,0,0,0.0026000000000000467,"3.34, 4.234, 5.85, 6.842",4,"BASE, ACID, ACID, ACID",4.233887348175049,3.340347032546997,4.233887348175049,3.340347032546997,carboxylate,aliphatic_amine,6.816966570770776e-4,0.9993183033429229,-2.4964088357016148
Nelfinavir,CHEMBL584,567.80,101.90,4,6,4.75,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,7.4350000000000005,2,"6.3, 8.57",NA,0,NA,7.44,NA,3.37,3.65,ACID,567.7960000000003,101.9,4,6,4.747620000000004,567.8,101.9,4.75,0.003999999999678039,0,0,0,0.002379999999996052,"5.976, 7.811, 8.439, 8.94, 9.212, 9.249, 9.693",7,"BASE, BASE, BASE, ACID, ACID, ACID, ACID",8.939828186035156,8.43934326171875,8.939828186035156,7.810753307342529,phenol,aliphatic_amine,0.2774918170886964,0.7225081829113036,4.193250180807801
Oxcarbazepine,CHEMBL1068,252.27,63.40,1,2,2.64,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,12.36,NA,2.17,2.17,ACID,252.27299999999997,63.400000000000006,1,2,2.6422000000000008,252.27,63.4,2.64,0.002999999999957481,7.105427357601002e-15,0,0,0.002200000000000646,"6.26, 8.442",2,"BASE, ACID",8.442109985351562,6.260469923019409,8.442109985351562,NA,acidic_amide,NA,0.9167927471771962,0.08320725282280383,2.6022711688975497
Piroxicam,CHEMBL527,331.35,99.60,2,5,1.58,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,ChEMBL,NA,0,NA,99.15,0.008499999999999952,4,ChEMBL_PPB,0.008499999999999952,4.5,21,"6.5, 1.86, 7.43, 4.5, 6.3, 1.88, 5.3, 2.23, 1.89, 5.29, 1.89, 4.74, 0, 0.55, 5.3, 2.5, 1.9, 5.3, 1.86, 5.46, 5.3",-0.08,3,"-0.08, -0.3, 0",4.22,NA,-0.66,2.52,ACID,331.35300000000007,99.6,2,5,1.5809999999999997,331.35,99.6,1.58,0.0030000000000427463,0,0,0,9.999999999996678e-4,"2.984, 3.148, 3.378, 5.492, 8.516",5,"BASE, ACID, BASE, ACID, ACID",3.147769546508789,3.378073949813843,3.147769546508789,NA,sulfonamide,NA,5.594293533306058e-5,0.9999440570646669,-2.67225474987894
Quinapril,CHEMBL1592,438.52,95.94,2,5,2.57,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,ChEMBL,NA,0,NA,95.82,0.04180000000000006,1,ChEMBL_PPB,0.04180000000000006,NA,0,NA,NA,0,NA,6.81,NA,0.12,0.81,ACID,438.5240000000003,95.94000000000001,2,5,2.5671,438.52,95.94,2.57,0.0040000000003033165,1.4210854715202004e-14,0,0,0.0028999999999999027,"5.147, 7.011",2,"ACID, BASE",5.1470898914337155,7.011193199157715,5.1470898914337155,7.011193199157715,carboxylate,aliphatic_amine,0.005542253289517033,0.9944577467104829,0.313686369826923
Sulfasalazine,CHEMBL421,398.40,141.31,3,7,3.70,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,2.325,2,"2.65, 2",-0.13,1,-0.13,4.01,NA,-0.96,2.43,ACID,398.4000000000001,141.31,3,7,3.7016000000000013,398.4,141.31,3.7,1.1368683772161603e-13,0,0,0,0.001600000000001156,"4.089, 4.096, 5.132, 5.93",4,"BASE, ACID, ACID, ACID",4.096194133758545,4.088634309768676,4.096194133758545,4.088634309768676,sulfonamide,heterocyclic_N_basic_6ring,4.965675302301823e-4,0.9995034324697698,0.39597831831382146
Warfarin,CHEMBL1464,308.33,67.51,1,4,3.61,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,ChEMBL,0.01075,12,"0.015, 0.295, 0.006, 0.013, 0.014, 0.009, 0.008, 0.0062, 0.0041, 0.05, 0.00513, 0.0125",NA,NA,NA,ChEMBL_Fu,0.01075,4.9,5,"5.1, 4.85, 5.1, 4.9, 0.41",0.8200000000000001,4,"0.12, 0.9, 0.86, 0.78",NA,NA,2.7,2.7,NEUTRAL,308.3330000000001,67.50999999999999,1,4,3.609600000000003,308.33,67.51,3.61,0.0030000000000995897,1.4210854715202004e-14,0,0,3.999999999968473e-4,5.562,1,ACID,5.562382507324219,NA,5.562382507324219,NA,phenol,NA,0.01432570286932361,0.9856742971306763,1.7661159391755703
Albendazole,CHEMBL1483,265.34,67.01,2,4,3.24,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,ChEMBL,NA,0,NA,95.43,0.04569999999999996,1,ChEMBL_PPB,0.04569999999999996,NA,0,NA,3.57,1,3.57,10.58,NA,3.07,3.07,ACID,265.33799999999997,67.01,2,4,3.2433000000000005,265.34,67.01,3.24,0.0020000000000095497,0,0,0,0.0033000000000003027,"3.812, 5.677, 9.046, 9.965",4,"ACID, BASE, ACID, BASE",3.8124605083465575,9.965320587158203,3.8124605083465575,9.965320587158203,carbamate,heterocyclic_N_basic_5ring_polyhet,2.3601461069661466e-4,0.9997639853893033,-0.3870611108074131
Aripiprazole,CHEMBL1112,448.39,44.81,1,4,4.86,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,ChEMBL,0.006,2,"0.01, 0.002",NA,NA,NA,ChEMBL_Fu,0.006,NA,0,NA,NA,0,NA,NA,7.05,5.36,5.52,BASE,448.39400000000006,44.81,1,4,4.859300000000005,448.39,44.81,4.86,0.004000000000075943,0,0,0,6.999999999957041e-4,"5.406, 6.158, 7.56, 10.511",4,"BASE, BASE, BASE, ACID",10.511249542236328,7.559629764556885,10.511249542236328,7.559629764556885,acidic_amide,aliphatic_amine,0.4090009531187816,0.5909990468812184,4.4717243200702885
Citalopram,CHEMBL549,324.40,36.26,0,3,3.81,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,ChEMBL,0.2,3,"0.2, 0.2, 0.047",NA,NA,NA,ChEMBL_Fu,0.2,9.440000000000001,6,"9.38, 9.2, 9.72, 9.5, 9.7, 9.38",1.92,2,"1.94, 1.9",NA,7.36,2.22,2.5,BASE,324.39900000000006,36.26,0,3,3.812980000000003,324.4,36.26,3.81,9.999999999195097e-4,0,0,0,0.0029800000000030913,9.606,1,BASE,NA,9.605813484191895,NA,9.605813484191895,NA,aliphatic_amine,0.006187156775982517,0.9938128432240175,1.601491120720416
Dapsone,CHEMBL1043,248.31,86.18,2,4,1.68,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,ChEMBL,0.25,2,"0.25, 0.25",NA,NA,NA,ChEMBL_Fu,0.25,NA,0,NA,NA,0,NA,NA,1.49,0.97,0.97,BASE,248.30700000000002,86.18,2,4,1.6838000000000002,248.31,86.18,1.68,0.002999999999985903,0,0,0,0.0038000000000002476,"2.637, 3.636, 9.871, 10.337",4,"BASE, BASE, ACID, ACID",9.87073450088501,3.636273889541626,9.87073450088501,3.636273889541626,acidic_aniline,aliphatic_amine,0.9964575821527583,0.003542417847241741,1.6784588161031575
Efavirenz,CHEMBL223228,315.68,38.33,1,2,4.07,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,ChEMBL,0.0049499999999999995,2,"0.0052, 0.0047",NA,NA,NA,ChEMBL_Fu,0.0049499999999999995,7.18,1,7.18,NA,0,NA,9.38,NA,3.87,3.87,ACID,315.67799999999994,38.33,1,2,4.073100000000001,315.68,38.33,4.07,0.002000000000066393,0,0,0,0.003100000000000769,"4.93, 6.702",2,"ACID, ACID",4.930407848358154,NA,4.930407848358154,NA,carbamate,NA,0.0033801609214737112,0.9966198390785262,1.5989373765038213
Lopinavir,CHEMBL729,628.81,120.00,4,5,4.33,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,8.45,NA,4.69,4.73,ACID,628.8139999999999,120,4,5,4.328140000000003,628.81,120,4.33,0.0039999999999054126,0,0,0,0.0018599999999970862,"6.175, 6.292, 6.95, 8.196, 8.609, 8.775, 9.346",7,"BASE, BASE, BASE, ACID, ACID, ACID, ACID",8.196475296020507,6.950320930480957,8.196475296020507,NA,acidic_amide,NA,0.8622318667880788,0.13776813321192116,4.265624069682878
Loratadine,CHEMBL998,382.89,42.43,0,3,4.89,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,4.58,1,4.58,4.4,2,"4.4, 4.4",8.63,NA,5.18,5.2,ACID,382.89100000000025,42.43,0,3,4.887800000000005,382.89,42.43,4.89,0.0010000000002605702,0,0,0,0.0021999999999948727,"4.322, 5.037",2,"BASE, ACID",5.036717662811279,4.322069597244263,5.036717662811279,4.322069597244263,carbamate,heterocyclic_N_basic_6ring,0.004313588083456163,0.9956864119165438,2.524838670756507
Naproxen,CHEMBL154,230.26,46.53,1,2,3.04,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,ChEMBL,0.01,3,"0.989, 0.01, 1.21e-05",NA,NA,NA,ChEMBL_Fu,0.01,4.1899999999999995,12,"4.01, 4.2, 4.18, 4.18, 8.41, 4.2, 4, 4.4, 3.29, 4.18, 4.2, 4.2",1.75,2,"3.3, 0.2",5,NA,0.78,3.18,ACID,230.26299999999998,46.53,1,2,3.036500000000001,230.26,46.53,3.04,0.002999999999985903,0,0,0,0.0034999999999989484,4.509,1,ACID,4.509268817901611,NA,4.509268817901611,NA,carboxylate,NA,0.0012844305842706954,0.9987155694157293,0.14871063823817066
Nefazodone,CHEMBL623,470.02,55.53,0,7,3.55,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,ChEMBL,0.009,3,"0.009, 0.009, 0.01",NA,NA,NA,ChEMBL_Fu,0.009,6.645,4,"6.79, 6.5, 6.5, 13.8",NA,0,NA,8.2,NA,4.41,4.47,ACID,470.01700000000034,55.53,0,5,3.5519000000000025,470.02,55.53,3.55,0.0029999999996448423,0,0,2,0.0019000000000026773,"4.092, 5.026, 6.649",3,"BASE, BASE, BASE",NA,6.649334564208984,NA,6.649334564208984,NA,aliphatic_amine,0.8492167453046527,0.15078325469534726,3.4790185492265415
Phenacetin,CHEMBL16073,179.22,38.33,1,2,2.04,CCOc1ccc(NC(C)=O)cc1,ChEMBL,0.8785000000000001,4,"0.47, 0.78, 0.98, 0.977",NA,NA,NA,ChEMBL_Fu,0.8785000000000001,2.2,1,2.2,NA,0,NA,13.44,NA,1.58,1.58,ACID,179.219,38.33,1,2,2.0437,179.22,38.33,2.04,0.0010000000000047748,0,0,0,0.0036999999999998145,"5.334, 11.173",2,"BASE, ACID",NA,5.333928785324097,NA,NA,NA,NA,1,0,2.04
Propafenone,CHEMBL631,341.45,58.56,2,4,3.24,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,ChEMBL,0.05,4,"0.05, 0.05, 0.038, 0.783",NA,NA,NA,ChEMBL_Fu,0.05,9.27,10,"9.27, 9.27, 9.2, 9.31, 9.27, 9.27, 8.8, 9, 9.48, 9.3",1.77,3,"1.81, 1.6, 1.77",NA,7.18,3.13,3.33,BASE,341.4510000000001,58.559999999999995,2,4,3.2414000000000023,341.45,58.56,3.24,0.00100000000009004,7.105427357601002e-15,0,0,0.0014000000000020663,8.857,1,BASE,NA,8.856993103027344,NA,8.856993103027344,NA,aliphatic_amine,0.03373668367328234,0.9662633163267177,1.7681023890657779
Quazepam,CHEMBL1200472,386.80,15.60,0,2,5.03,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,4.12,4.03,4.03,BASE,386.8010000000001,15.6,0,2,5.026200000000003,386.8,15.6,5.03,0.00100000000009004,0,0,0,0.003799999999997361,3.175,1,BASE,NA,3.1751350212097167,NA,NA,NA,NA,1,0,5.03
Fexofenadine,CHEMBL914,501.67,81.00,3,4,5.51,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,ChEMBL,0.00421,1,0.00421,NA,NA,NA,ChEMBL_Fu,0.00421,4.7,3,"4.2, 4.7, 9.3",0.3,1,0.3,4.17,8.78,3.11,4.51,AMPHOLYTE,501.66700000000014,81,3,4,5.510500000000006,501.67,81,5.51,0.002999999999872216,0,0,0,5.000000000059401e-4,"5.497, 7.368, 7.899, 8.704",4,"ACID, BASE, ACID, ACID",5.496658096313476,7.367578735351563,5.496658096313476,7.367578735351563,carboxylate,aliphatic_amine,0.012198917903405626,0.9878010820965943,3.596321308590942
Tolmetin,CHEMBL1020,257.29,59.30,1,3,2.19,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,ChEMBL,NA,0,NA,99.7,0.0030000000000000027,3,ChEMBL_PPB,0.0030000000000000027,3.5,4,"3.5, 3.5, 3.5, 3.5",-1,1,-1,5.89,NA,1.27,2.79,ACID,257.289,59.300000000000004,1,2,2.1916200000000003,257.29,59.3,2.19,0.0010000000000331966,7.105427357601002e-15,0,1,0.001620000000000399,3.893,1,ACID,3.893364009857178,NA,3.893364009857178,NA,carboxylate,NA,3.113355957615074e-4,0.9996886644042385,-1.3167712225265018
Trazodone,CHEMBL621,371.87,45.78,0,6,2.36,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,ChEMBL,0.07350000000000001,4,"0.07, 0.07, 0.077, 0.98",NA,NA,NA,ChEMBL_Fu,0.07350000000000001,6.73,7,"6.79, 6.79, 6.7, 6.73, 6.73, 6.79, 6.7",2.97,3,"2.54, 2.97, 2.99",NA,6.02,2.4,2.42,BASE,371.8720000000001,45.78,0,4,2.3617,371.87,45.78,2.36,0.0020000000001232365,0,0,2,0.0017000000000000348,"2.987, 4.71, 6.982",3,"BASE, BASE, BASE",NA,6.982229881286621,NA,6.982229881286621,NA,aliphatic_amine,0.723512307276195,0.276487692723805,2.2194459230662216
Allopurinol,CHEMBL1467,136.11,74.69,2,4,0.06,Oc1ncnc2[nH]ncc12,ChEMBL,0.95,3,"0.95, 0.95, 0.97",NA,NA,NA,ChEMBL_Fu,0.95,9.35,2,"9.7, 9",-0.44,1,-0.44,NA,1.83,-0.5,-0.5,BASE,136.114,74.69,2,4,0.058499999999999885,136.11,74.69,0.06,0.003999999999990678,0,0,0,0.0015000000000001124,"3.146, 4.226, 5.14, 9.436",4,"BASE, BASE, ACID, BASE",5.140163507461548,9.436239051818848,5.140163507461548,9.436239051818848,phenol,heterocyclic_N_basic_5ring_polyhet,0.0034293086092954737,0.9965706913907045,-2.4047934302296943
Amiodarone,CHEMBL633,645.32,42.68,0,4,6.94,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,ChEMBL,2e-4,4,"2e-04, 2e-04, 2e-04, 1e-04",NA,NA,NA,ChEMBL_Fu,2e-4,8.73,8,"8.73, 8.73, 6.6, 9.37, 8.7, 8.73, 9.06, 4.84",7.7,2,"6.1, 9.3",NA,5.57,7.56,7.57,BASE,645.3190000000002,42.68,0,4,6.936200000000007,645.32,42.68,6.94,9.999999998626663e-4,0,0,0,0.0037999999999938083,7.505,1,BASE,NA,7.505460777282715,NA,7.505460777282715,NA,aliphatic_amine,0.4395884654124576,0.5604115345875424,6.58304628822497
Cannabidiol,CHEMBL190461,314.47,40.46,2,2,5.85,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,ChEMBL,NA,0,NA,90,0.09999999999999998,1,ChEMBL_PPB,0.09999999999999998,NA,0,NA,NA,0,NA,9.64,NA,6.38,6.38,ACID,314.469,40.46,2,2,5.846500000000006,314.47,40.46,5.85,0.0010000000000331966,0,0,0,0.0034999999999936193,"10.068, 10.481",2,"ACID, ACID",10.068207359313964,NA,10.068207359313964,NA,phenol,NA,0.9978577936891906,0.0021422063108094136,5.849068653695603
Carbamazepine,CHEMBL108,236.27,46.33,1,1,3.39,NC(=O)N1c2ccccc2C=Cc2ccccc21,ChEMBL,0.2895,6,"0.171, 0.299, 0.288, 0.291, 0.303, 0.276",NA,NA,NA,ChEMBL_Fu,0.2895,NA,0,NA,1.77,5,"2.45, 2.19, 1.77, 1.77, 0.13",5.07,NA,0.12,2.45,ACID,236.274,46.330000000000005,1,1,3.3872000000000018,236.27,46.33,3.39,0.003999999999990678,7.105427357601002e-15,0,0,0.0027999999999983594,"7.003, 9.155",2,"BASE, ACID",9.155458641052245,7.002646217346191,9.155458641052245,NA,acidic_amide,NA,0.9827423744508322,0.017257625549167765,3.3824396826149723
Celecoxib,CHEMBL118,381.38,77.98,1,4,3.51,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,ChEMBL,0.0030499999999999998,2,"0.003, 0.0031",NA,NA,NA,ChEMBL_Fu,0.0030499999999999998,NA,0,NA,NA,0,NA,12.97,0.87,2.97,3.57,AMPHOLYTE,381.3790000000001,77.98,1,3,3.5139200000000006,381.38,77.98,3.51,9.999999999195097e-4,0,0,1,0.003920000000000812,"2.512, 6.695, 9.165",3,"BASE, ACID, ACID",6.695106449127198,NA,6.695106449127198,NA,sulfonamide,NA,0.16478089869983492,0.8352191013001651,2.7269068671302104
Clozapine,CHEMBL42,326.83,30.87,1,4,3.72,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,ChEMBL,0.055,7,"0.05, 0.05, 0.055, 0.042, 0.058, 0.081, 0.101",NA,NA,NA,ChEMBL_Fu,0.055,7.63,14,"7.63, 7.63, 8, 3.79, 7.7, 3.79, 7.96, 7.63, 7.9, 7.8, 7.63, 7.63, 7.5, 4.02",3.295,4,"2.993, 3.13, 3.46, 3.48",NA,9.78,0.85,3.23,BASE,326.83100000000013,30.869999999999997,1,4,3.7227000000000023,326.83,30.87,3.72,0.0010000000001468834,3.552713678800501e-15,0,0,0.002700000000002145,"5.424, 8.054, 9.158, 10.681",4,"BASE, ACID, BASE, ACID",8.05432451248169,9.157950305938721,8.05432451248169,9.157950305938721,acidic_aniline,aliphatic_amine,0.017095564981263908,0.9829044350187361,1.9528834581124752
Cyclosporine,CHEMBL160,1202.63,279,5,12,7.5,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,ChEMBL,0.036500000000000005,2,"0.068, 0.005",NA,NA,NA,ChEMBL_Fu,0.036500000000000005,NA,0,NA,4.06,3,"4.4, 3.7, 4.06",NA,NA,2.92,2.92,NEUTRAL,1202.634999999999,278.8,5,12,3.2690000000000046,1202.63,279,7.5,0.004999999998972271,0.19999999999998863,0,0,4.230999999999995,"5.615, 5.655, 5.715, 5.733, 5.763, 5.779, 5.78, 5.797, 5.969, 6.169, 7.284, 7.467, 7.643, 7.911, 8.146",15,"BASE, BASE, BASE, BASE, BASE, BASE, BASE, BASE, BASE, BASE, ACID, ACID, ACID, ACID, ACID",7.284310569763184,6.168515281677246,7.284310569763184,NA,alcohol,NA,0.4337948461659427,0.5662051538340573,7.137284387938691
Domperidone,CHEMBL219916,425.92,78.82,2,5,3.35,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,ChEMBL,0.082,3,"0.08, 0.082, 0.598",NA,NA,NA,ChEMBL_Fu,0.082,7.9,5,"7.9, 7.7, 8.06, 7.9, 7.9",NA,0,NA,6.55,4.24,1.89,3.9,AMPHOLYTE,425.92000000000013,78.82,2,3,3.353200000000002,425.92,78.82,3.35,1.1368683772161603e-13,0,0,2,0.003200000000001868,"5.981, 8.034, 9.188, 10.065",4,"BASE, BASE, BASE, BASE",NA,10.064715118408204,NA,10.064715118408204,NA,heterocyclic_N_basic_5ring_polyhet,0.002159464276893857,0.9978405357231062,0.6843460240926178
Dronabinol/THC,CHEMBL465,314.47,29.46,1,2,5.74,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,ChEMBL,0.03,3,"0.03, 0.03, 0.05",NA,NA,NA,ChEMBL_Fu,0.03,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NEUTRAL,314.46900000000005,29.46,1,2,5.735800000000006,314.47,29.46,5.74,9.999999999763531e-4,0,0,0,0.0041999999999946525,10.631,1,ACID,10.631449737548827,NA,10.631449737548827,NA,phenol,NA,0.9994134629400694,5.865370599306141e-4,5.73974519545798
Drospirenone,CHEMBL1509,366.50,43.37,0,3,4.31,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,3,3,NEUTRAL,366.50100000000015,43.370000000000005,0,3,4.305900000000004,366.5,43.37,4.31,0.0010000000001468834,7.105427357601002e-15,0,0,0.004099999999995774,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,4.31
